Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
11/19/2020,1757535,0.31,1058467,0.48,57205,0.17,40123,0.14,21780,0.7,800461,0.85,3529,0.21
11/18/2020,1787688,0.32,1072627,0.49,56023,0.17,39694,0.14,23390,0.75,776422,0.82,3495,0.21
11/17/2020,1788847,0.32,1094353,0.5,57853,0.18,40079,0.14,22524,0.72,764725,0.81,3584,0.21
11/16/2020,1741750,0.31,1051458,0.48,59718,0.18,41962,0.15,21851,0.7,757988,0.8,3532,0.21
11/15/2020,820858,0.33,524515,0.53,26073,0.28,20946,0.2,9763,0.52,596389,0.72,697,0.23
11/14/2020,1215477,0.38,755714,0.57,35735,0.31,31397,0.21,12928,0.76,735029,0.81,14,0
11/13/2020,1816693,0.32,1061880,0.48,61820,0.19,45127,0.16,22054,0.71,821059,0.87,3332,0.2
11/12/2020,1776666,0.32,1058761,0.48,58237,0.18,40382,0.14,22059,0.71,779141,0.83,3546,0.21
11/11/2020,1614812,0.64,968853,0.97,55515,0.59,40074,0.38,20263,0.65,713640,0.87,3050,0.99
11/10/2020,1836902,0.33,1146090,0.52,60891,0.19,43084,0.15,23138,0.74,800965,0.85,3848,0.23
11/09/2020,1752614,0.31,1099361,0.5,61198,0.19,42628,0.15,21444,0.69,773217,0.82,3561,0.21
11/08/2020,927670,0.37,584868,0.59,32423,0.34,27961,0.27,10474,0.56,726041,0.88,846,0.28
11/07/2020,1246321,0.39,749502,0.57,40002,0.35,35871,0.24,13409,0.79,790712,0.87,35,0.01
11/06/2020,1837314,0.33,1114000,0.51,64147,0.2,48139,0.17,22659,0.73,858167,0.91,3546,0.21
11/05/2020,1793796,0.32,1125820,0.51,58776,0.18,41550,0.15,22937,0.73,818991,0.87,3793,0.22
11/04/2020,1690489,0.3,1083036,0.49,54345,0.17,38818,0.14,22174,0.71,754704,0.8,3448,0.2
11/03/2020,1602912,0.28,1017551,0.46,54643,0.17,39749,0.14,20416,0.65,720562,0.76,3184,0.19
11/02/2020,1747908,0.31,1064298,0.49,58206,0.18,40609,0.14,21127,0.68,772129,0.82,3535,0.21
11/01/2020,786675,0.31,510667,0.51,24849,0.26,22602,0.22,10180,0.54,660915,0.8,3,0
10/31/2020,1174059,0.35,724129,0.52,36426,0.32,34077,0.22,12816,0.72,743811,0.79,20,0
10/30/2020,1768018,0.31,1004498,0.45,63086,0.2,47968,0.16,21243,0.71,824680,0.89,3270,0.18
10/29/2020,1705072,0.3,974119,0.43,57737,0.18,41158,0.14,20925,0.7,776467,0.84,3539,0.2
10/28/2020,1819352,0.32,1109591,0.49,60325,0.19,43290,0.15,23258,0.78,801966,0.86,3676,0.21
10/27/2020,1815242,0.32,1138746,0.51,60741,0.19,43341,0.15,21870,0.73,789371,0.85,3642,0.2
10/26/2020,1690651,0.29,1058119,0.47,60491,0.19,43558,0.15,20817,0.7,760604,0.82,3429,0.19
10/25/2020,885001,0.36,576930,0.58,29458,0.32,28321,0.27,10074,0.55,725809,0.86,,
10/24/2020,1185612,0.36,780710,0.56,38250,0.34,38673,0.25,12916,0.73,805454,0.85,,
10/23/2020,1842588,0.32,1128035,0.5,67337,0.21,51766,0.18,21766,0.73,881995,0.95,3680,0.21
10/22/2020,1825208,0.32,1146065,0.51,62602,0.2,45771,0.16,22391,0.75,845064,0.91,3927,0.22
10/21/2020,1812949,0.32,1147375,0.51,60017,0.19,44103,0.15,22959,0.77,806738,0.87,3848,0.22
10/20/2020,1780231,0.31,1127897,0.5,60178,0.19,42742,0.15,21936,0.74,790018,0.85,3859,0.22
10/19/2020,1719153,0.3,1104658,0.49,62193,0.2,44369,0.15,20812,0.7,782239,0.84,3570,0.2
10/18/2020,896812,0.37,585376,0.58,30336,0.33,30690,0.29,9998,0.54,752262,0.89,1074,0.28
10/17/2020,1209473,0.36,780003,0.56,38381,0.34,37764,0.25,11831,0.67,794520,0.84,1588,0.35
10/16/2020,1671320,0.29,986166,0.44,62745,0.2,47292,0.16,20776,0.7,820106,0.88,3366,0.19
10/15/2020,1853753,0.32,1154164,0.51,63733,0.2,46250,0.16,22834,0.77,866245,0.93,4069,0.23
10/14/2020,1838682,0.32,1161893,0.52,62080,0.2,45149,0.16,23169,0.78,824529,0.89,3956,0.22
10/13/2020,1715183,0.3,1067179,0.47,53201,0.17,42206,0.15,20909,0.7,765671,0.82,3670,0.21
10/12/2020,1284655,0.22,770512,0.34,53539,0.17,39838,0.14,15722,0.53,685982,0.74,2237,0.13
10/11/2020,848469,0.35,564046,0.56,30258,0.33,28784,0.27,9470,0.52,692669,0.82,1049,0.28
10/10/2020,1170227,0.35,770914,0.55,39048,0.34,41410,0.27,12627,0.71,823775,0.87,1430,0.31
10/09/2020,1808079,0.31,1114870,0.49,58900,0.19,52686,0.18,21274,0.71,896404,0.97,3700,0.21
10/08/2020,1798005,0.31,1128062,0.5,62089,0.2,44802,0.15,21964,0.74,845788,0.91,3913,0.22
10/07/2020,1770617,0.31,1124542,0.5,60650,0.19,43535,0.15,23027,0.77,814866,0.88,3791,0.21
10/06/2020,1758454,0.31,1133242,0.5,60982,0.19,43803,0.15,21475,0.72,802900,0.87,3866,0.22
10/05/2020,1678792,0.29,1092193,0.48,61850,0.2,42258,0.15,19971,0.67,783540,0.84,3587,0.2
10/04/2020,852830,0.35,566754,0.57,30593,0.34,27667,0.26,10010,0.54,706562,0.84,761,0.2
10/03/2020,1168040,0.35,773305,0.56,39477,0.35,36907,0.24,12759,0.72,810626,0.86,33,0.01
10/02/2020,1790612,0.31,1109459,0.49,65360,0.21,48883,0.17,21626,0.73,891268,0.96,3589,0.2
10/01/2020,1809958,0.31,1150563,0.51,60764,0.19,42390,0.15,22309,0.75,870606,0.94,4003,0.22
09/30/2020,1740820,0.3,984900,0.42,59629,0.18,41967,0.15,21424,0.72,822682,0.86,3704,0.22
09/29/2020,1661264,0.29,2209100,0.95,59006,0.18,40515,0.14,20517,0.69,790861,0.83,3632,0.21
09/28/2020,1489240,0.26,2228600,0.96,60024,0.18,43237,0.15,17678,0.6,753159,0.79,3371,0.2
09/27/2020,846179,0.33,2177200,1.98,32111,0.32,28481,0.27,9491,0.55,731091,0.83,5,0
09/26/2020,1120143,0.35,2244500,1.6,39622,0.33,35772,0.23,12128,0.71,824515,0.86,32,0.01
09/25/2020,1761591,0.31,2066700,0.89,66493,0.2,49819,0.17,21233,0.72,912599,0.96,3708,0.22
09/24/2020,1722364,0.3,1249100,0.54,60397,0.18,42969,0.15,21554,0.73,857578,0.9,3816,0.22
09/23/2020,1735333,0.3,957200,0.41,59478,0.18,42506,0.15,22501,0.76,834469,0.88,3710,0.22
09/22/2020,1698504,0.29,2124800,0.91,58293,0.18,41389,0.14,21103,0.71,808351,0.85,3821,0.22
09/21/2020,1624139,0.28,2112000,0.91,60052,0.18,41901,0.15,19488,0.66,788505,0.83,3497,0.2
09/20/2020,827605,0.33,2113000,1.92,31291,0.32,26329,0.25,9269,0.54,705596,0.8,760,0.26
09/19/2020,1136947,0.35,1938400,1.38,39293,0.33,34609,0.23,12246,0.71,802614,0.84,1001,0.24
09/18/2020,1725443,0.3,1715700,0.74,65164,0.2,48213,0.17,20702,0.7,894931,0.94,3367,0.2
09/17/2020,1692368,0.29,993300,0.43,58855,0.18,42339,0.15,21005,0.71,848024,0.89,3617,0.21
09/16/2020,1686909,0.29,711600,0.31,58166,0.18,41417,0.14,22070,0.74,816708,0.86,3496,0.2
09/15/2020,1678078,0.29,1237300,0.53,58059,0.18,41288,0.14,20763,0.7,815700,0.86,3696,0.22
09/14/2020,1604381,0.28,1094900,0.47,59913,0.18,41286,0.14,19888,0.67,799573,0.84,3515,0.21
09/13/2020,796740,0.31,1059500,0.96,29455,0.3,24009,0.23,9315,0.54,703809,0.8,4,0
09/12/2020,1083698,0.34,933600,0.67,37419,0.32,32400,0.21,12349,0.72,800190,0.84,29,0.01
09/11/2020,1690334,0.29,868600,0.37,63672,0.19,47781,0.17,20809,0.7,895766,0.94,3442,0.2
09/10/2020,1543662,0.27,564900,0.24,55662,0.17,39296,0.14,20181,0.68,801431,0.84,3403,0.2
09/09/2020,1610076,0.28,378900,0.16,57517,0.18,41954,0.15,21801,0.73,825412,0.87,3586,0.21
09/08/2020,1555816,0.27,578200,0.25,60446,0.18,42963,0.15,19806,0.67,833996,0.88,3496,0.2
09/07/2020,870964,0.34,657800,0.6,53588,0.54,27326,0.26,9261,0.31,697865,0.79,1210,0.41
09/06/2020,819409,0.32,618000,0.56,35911,0.36,28566,0.27,10160,0.59,753036,0.85,191,0.07
09/05/2020,1013725,0.31,646100,0.46,42462,0.36,34622,0.23,12118,0.71,798823,0.84,21,0.01
09/04/2020,1568385,0.27,641800,0.28,63502,0.19,47153,0.16,20223,0.68,936602,0.98,3148,0.18
09/03/2020,1529185,0.26,403700,0.17,55941,0.17,39920,0.14,19992,0.67,869126,0.91,3327,0.19
09/02/2020,1487969,0.26,306800,0.13,51851,0.16,36160,0.13,19990,0.67,810144,0.85,3192,0.19
09/01/2020,1469274,0.25,563900,0.24,51026,0.16,36035,0.12,18929,0.64,809685,0.85,3217,0.19
08/31/2020,1397264,0.27,514300,0.25,54747,0.18,37727,0.14,18185,0.65,817544,0.84,3184,0.24
08/30/2020,748061,0.31,495400,0.45,34569,0.33,26521,0.26,9752,0.54,805096,0.87,825,0.23
08/29/2020,773667,0.26,472700,0.34,28080,0.21,22235,0.15,9814,0.59,645956,0.67,798,0.17
08/28/2020,1388583,0.27,483800,0.24,57273,0.18,41222,0.15,18845,0.67,899892,0.93,2716,0.2
08/27/2020,1358272,0.26,383400,0.19,51827,0.17,35551,0.13,19271,0.69,847285,0.87,2856,0.21
08/26/2020,1407639,0.27,299600,0.15,53579,0.17,36621,0.13,20659,0.74,859625,0.88,3012,0.23
08/25/2020,1346490,0.26,454900,0.23,51215,0.16,35689,0.13,18682,0.67,821597,0.85,2845,0.21
08/24/2020,1307345,0.25,441000,0.22,52661,0.17,35904,0.13,17643,0.63,815665,0.84,2756,0.21
08/23/2020,671560,0.28,431700,0.39,29013,0.28,22497,0.22,8297,0.46,737097,0.8,633,0.18
08/22/2020,882522,0.3,401900,0.29,36624,0.27,27785,0.18,11456,0.69,812308,0.85,871,0.18
08/21/2020,1387463,0.27,414100,0.21,57234,0.18,41110,0.15,19035,0.68,909773,0.94,2769,0.21
08/20/2020,1410489,0.27,378200,0.19,53659,0.17,37078,0.14,19344,0.69,889782,0.92,2960,0.22
08/19/2020,1292148,0.25,279100,0.14,49046,0.16,34377,0.13,19915,0.71,816805,0.84,2783,0.21
08/18/2020,1369617,0.27,347800,0.17,51831,0.17,34361,0.13,19274,0.69,838008,0.86,2951,0.22
08/17/2020,1304485,0.25,470900,0.23,52176,0.17,35362,0.13,17377,0.62,806108,0.83,3058,0.23
08/16/2020,554451,0.23,454100,0.41,22862,0.22,18165,0.17,7902,0.44,620686,0.67,529,0.15
08/15/2020,860789,0.29,447000,0.33,34917,0.26,27678,0.18,11487,0.69,804346,0.84,974,0.21
08/14/2020,1355786,0.26,470300,0.23,54867,0.18,39342,0.14,18113,0.65,893657,0.92,3012,0.23
08/13/2020,1291277,0.25,352000,0.17,49105,0.16,33823,0.12,18608,0.67,819019,0.84,2971,0.22
08/12/2020,1298963,0.25,318100,0.16,47815,0.15,33736,0.12,19346,0.69,800865,0.82,3124,0.23
08/11/2020,1319814,0.26,498700,0.25,50590,0.16,33509,0.12,18546,0.66,821976,0.85,3164,0.24
08/10/2020,1275268,0.25,450900,0.22,51542,0.16,33501,0.12,18178,0.65,826001,0.85,2995,0.22
08/09/2020,662993,0.28,518900,0.47,28802,0.28,20503,0.2,8287,0.46,744618,0.81,649,0.18
08/08/2020,833287,0.28,487300,0.35,31129,0.23,23514,0.15,10613,0.64,730739,0.76,806,0.17
08/07/2020,1283894,0.25,475400,0.24,49639,0.16,32882,0.12,17502,0.63,844097,0.87,2741,0.2
08/06/2020,1334694,0.26,430800,0.21,47295,0.15,28283,0.1,19117,0.68,847497,0.87,3125,0.23
08/05/2020,1348202,0.26,293500,0.15,40581,0.13,26598,0.1,18299,0.66,847330,0.87,2824,0.21
08/04/2020,1027187,0.2,518400,0.26,25726,0.08,22286,0.08,14924,0.53,577415,0.59,1499,0.11
08/03/2020,1272996,0.25,555600,0.28,49601,0.16,32884,0.12,17594,0.63,818732,0.84,2955,0.22
08/02/2020,590060,0.25,519600,0.47,23355,0.22,17886,0.17,7431,0.41,648735,0.7,615,0.17
08/01/2020,842468,0.29,488800,0.36,33126,0.25,26261,0.17,10685,0.64,799745,0.83,904,0.19
07/31/2020,1258539,0.24,555300,0.27,50272,0.16,38041,0.13,17654,0.62,859774,0.89,2429,0.18
07/30/2020,1270172,0.24,478600,0.23,48311,0.15,34123,0.12,17333,0.61,820275,0.85,2746,0.2
07/29/2020,1296102,0.25,375900,0.18,48363,0.15,33734,0.12,18216,0.64,816959,0.85,2778,0.2
07/28/2020,1241770,0.24,578300,0.28,45997,0.15,31678,0.11,16892,0.6,782226,0.81,2635,0.19
07/27/2020,1203503,0.23,583400,0.28,48526,0.15,31569,0.11,16607,0.59,793225,0.83,2626,0.19
07/26/2020,606910,0.26,538800,0.49,27502,0.26,20170,0.19,7429,0.45,697533,0.79,542,0.15
07/25/2020,816604,0.29,605600,0.45,33753,0.26,25173,0.16,10350,0.65,769898,0.83,799,0.16
07/24/2020,1218138,0.23,573700,0.28,48965,0.15,36640,0.13,17311,0.61,826030,0.86,2511,0.18
07/23/2020,1233795,0.23,462400,0.22,45984,0.15,32976,0.12,17056,0.6,791577,0.82,2632,0.19
07/22/2020,1233668,0.23,386000,0.19,45152,0.14,32486,0.11,17582,0.62,784013,0.82,2716,0.2
07/21/2020,1241819,0.24,553300,0.27,46623,0.15,33214,0.12,16831,0.59,792955,0.82,2725,0.2
07/20/2020,1156735,0.22,594900,0.29,46870,0.15,32280,0.11,15957,0.56,770607,0.8,2428,0.18
07/19/2020,584994,0.25,611300,0.56,27704,0.26,18675,0.18,7052,0.43,696110,0.79,504,0.14
07/18/2020,778936,0.28,616000,0.46,32114,0.25,24071,0.16,9785,0.62,747445,0.81,786,0.15
07/17/2020,1207265,0.23,671500,0.32,48160,0.15,35415,0.13,16401,0.58,819471,0.85,2427,0.18
07/16/2020,1249128,0.24,530600,0.26,46751,0.15,33259,0.12,17230,0.61,819850,0.85,2756,0.2
07/15/2020,1248413,0.24,413500,0.2,45982,0.15,32604,0.12,18149,0.64,803399,0.84,2751,0.2
07/14/2020,1241080,0.24,624200,0.3,45745,0.14,31922,0.11,17081,0.6,794838,0.83,2669,0.19
07/13/2020,1175700,0.22,643600,0.31,45945,0.15,31876,0.11,15928,0.56,756123,0.79,2504,0.18
07/12/2020,628187,0.27,654800,0.6,26545,0.25,19860,0.19,7395,0.45,703590,0.8,731,0.2
07/11/2020,692977,0.25,655300,0.49,23410,0.18,18684,0.12,8453,0.53,625288,0.68,812,0.16
07/10/2020,1030632,0.2,690200,0.33,41563,0.13,29683,0.1,15738,0.56,712635,0.74,2117,0.15
07/09/2020,1211280,0.23,460700,0.22,45876,0.14,31914,0.11,17017,0.6,818034,0.85,2571,0.19
07/08/2020,1172279,0.22,461200,0.22,43563,0.14,30174,0.11,16980,0.6,758208,0.79,2454,0.18
07/07/2020,1157185,0.22,531600,0.26,42596,0.13,30507,0.11,16003,0.56,749833,0.78,2403,0.17
07/06/2020,1084956,0.21,709000,0.34,44199,0.14,30557,0.11,14886,0.53,750584,0.78,2222,0.16
07/05/2020,533692,0.23,719200,0.66,26289,0.25,19137,0.18,6280,0.38,659099,0.75,528,0.15
07/04/2020,591605,0.21,710800,0.53,29897,0.23,22085,0.14,8391,0.53,569212,0.62,690,0.14
07/03/2020,851877,0.36,720800,0.66,41750,0.4,32050,0.3,10915,0.38,713240,0.81,1138,0.32
07/02/2020,1170483,0.22,622000,0.3,45020,0.14,31948,0.11,15981,0.56,881471,0.92,2365,0.17
07/01/2020,1120537,0.21,468300,0.23,39042,0.12,27770,0.1,16451,0.58,779409,0.81,2305,0.17
06/30/2020,1113124,0.2,764300,0.36,38057,0.11,27077,0.09,15291,0.52,758785,0.77,2386,0.15
06/29/2020,1100769,0.2,724400,0.34,41715,0.13,28163,0.1,14705,0.5,767165,0.78,2317,0.14
06/28/2020,535898,0.2,741200,0.68,20767,0.21,15919,0.15,5748,0.32,623131,0.67,590,0.15
06/27/2020,615398,0.19,797700,0.57,21669,0.18,17933,0.11,8541,0.49,630731,0.64,686,0.14
06/26/2020,1102382,0.2,772900,0.36,39370,0.12,29700,0.1,15048,0.51,830887,0.85,2115,0.13
06/25/2020,1078796,0.19,648000,0.3,35646,0.11,25644,0.09,14854,0.51,781618,0.79,2210,0.14
06/24/2020,1068333,0.19,531900,0.25,34439,0.1,25277,0.09,15155,0.52,752750,0.77,2194,0.14
06/23/2020,1050786,0.19,863400,0.4,34736,0.1,24909,0.08,15069,0.51,744822,0.76,2219,0.14
06/22/2020,1000046,0.18,916900,0.43,35501,0.11,25367,0.09,13314,0.45,733291,0.75,2027,0.13
06/21/2020,449497,0.17,914700,0.84,21910,0.22,16720,0.15,6328,0.35,654914,0.71,,
06/20/2020,576075,0.18,830100,0.59,23438,0.19,18560,0.12,8185,0.47,666226,0.68,22,0
06/19/2020,986929,0.38,966300,0.89,35517,0.36,27772,0.25,13868,0.47,797519,0.86,1751,0.45
06/18/2020,942382,0.17,706800,0.33,31916,0.1,24081,0.08,13808,0.47,729487,0.74,1936,0.12
06/17/2020,948461,0.17,571200,0.27,31026,0.09,24167,0.08,14595,0.5,709680,0.72,1857,0.11
06/16/2020,932671,0.17,940900,0.44,30782,0.09,22555,0.08,12939,0.44,695359,0.71,1874,0.12
06/15/2020,897112,0.16,961000,0.45,31328,0.09,22841,0.08,12953,0.44,674785,0.69,1813,0.11
06/14/2020,430439,0.16,977200,0.9,16868,0.17,13795,0.13,5195,0.29,563725,0.61,7,0
06/13/2020,545316,0.17,977700,0.7,20521,0.17,16675,0.11,7794,0.45,631065,0.64,17,0
06/12/2020,896658,0.16,1035300,0.48,31888,0.1,24165,0.08,13224,0.45,765492,0.78,1656,0.1
06/11/2020,818297,0.15,768500,0.36,27320,0.08,19525,0.07,12514,0.43,656696,0.67,1576,0.1
06/10/2020,857015,0.15,592400,0.28,28340,0.09,20518,0.07,13616,0.46,680270,0.69,1767,0.11
06/09/2020,842306,0.15,1016200,0.47,27760,0.08,19543,0.07,12869,0.44,680462,0.69,1662,0.1
06/08/2020,804542,0.14,1086200,0.51,28089,0.08,20140,0.07,11957,0.41,644830,0.66,1596,0.1
06/07/2020,377990,0.14,1099900,1.01,13583,0.14,11231,0.1,4650,0.26,538419,0.58,95,0.02
06/06/2020,464198,0.14,1088500,0.78,14641,0.12,12179,0.08,6591,0.38,551793,0.56,9,0
06/05/2020,703576,0.13,1130100,0.53,23688,0.07,18065,0.06,11698,0.4,643562,0.65,1249,0.08
06/04/2020,726672,0.13,753900,0.35,19857,0.06,17149,0.06,12000,0.41,650868,0.66,1346,0.08
06/03/2020,681714,0.12,641800,0.3,21394,0.06,15649,0.05,11962,0.41,582624,0.59,1323,0.08
06/02/2020,693760,0.12,1087500,0.51,22175,0.07,16295,0.06,11206,0.38,579412,0.59,1516,0.09
06/01/2020,687162,0.12,1082000,0.5,22626,0.07,16185,0.05,10760,0.37,595060,0.61,1358,0.08
05/31/2020,344426,0.14,1102200,1.14,11074,0.11,9390,0.09,4216,0.25,495488,0.58,2,0
05/30/2020,426737,0.13,1178500,0.84,13058,0.11,11003,0.07,6143,0.35,537180,0.56,18,0
05/29/2020,657259,0.11,968200,0.43,18474,0.06,15698,0.05,10185,0.35,598608,0.62,1094,0.06
05/28/2020,658057,0.12,754900,0.33,17489,0.05,14162,0.05,10030,0.34,584629,0.61,1191,0.07
05/27/2020,674465,0.12,658700,0.29,18145,0.06,14433,0.05,11088,0.38,601140,0.62,1240,0.07
05/26/2020,656766,0.11,1030200,0.45,18256,0.06,14938,0.05,9875,0.34,587270,0.61,1173,0.07
05/25/2020,393918,0.16,1118800,1.16,13260,0.14,12983,0.12,5428,0.18,445015,0.52,441,0.13
05/24/2020,320015,0.13,1114900,1.16,9699,0.1,8977,0.09,4117,0.24,461171,0.54,361,0.1
05/23/2020,335830,0.1,1195700,0.86,9219,0.08,7613,0.05,5550,0.32,394091,0.41,420,0.09
05/22/2020,633883,0.11,926800,0.41,16824,0.05,14712,0.05,9782,0.33,626984,0.65,1046,0.06
05/21/2020,629298,0.11,852600,0.37,15690,0.05,13295,0.05,9731,0.33,585553,0.61,1069,0.06
05/20/2020,623749,0.11,727700,0.32,15227,0.05,12754,0.04,10224,0.35,542409,0.56,1044,0.06
05/19/2020,610884,0.11,1144100,0.5,14773,0.05,12778,0.04,9290,0.32,524483,0.54,1067,0.06
05/18/2020,595469,0.1,1211300,0.53,15176,0.05,13142,0.05,8969,0.3,505315,0.53,1036,0.06
05/17/2020,287418,0.12,1229000,1.28,7184,0.07,6168,0.06,3577,0.21,391606,0.46,337,0.1
05/16/2020,360844,0.11,1211800,0.87,9296,0.08,8100,0.05,5947,0.34,477098,0.5,485,0.1
05/15/2020,587808,0.1,1176200,0.52,14806,0.05,12937,0.05,9473,0.32,562991,0.58,976,0.06
05/14/2020,567392,0.1,913700,0.4,13415,0.04,12132,0.04,8855,0.3,520395,0.54,923,0.05
05/13/2020,565377,0.1,692800,0.3,13262,0.04,11931,0.04,9437,0.32,509243,0.53,956,0.05
05/12/2020,553372,0.1,1130400,0.5,13008,0.04,11489,0.04,8271,0.28,488406,0.51,914,0.05
05/11/2020,520873,0.09,1204300,0.53,12593,0.04,11435,0.04,7636,0.26,458042,0.48,829,0.05
05/10/2020,271947,0.11,1189100,1.23,6528,0.07,5879,0.06,3962,0.23,415868,0.49,406,0.12
05/09/2020,316883,0.1,1180200,0.85,6422,0.05,6018,0.04,5055,0.29,371426,0.39,489,0.1
05/08/2020,526054,0.09,1134300,0.5,11580,0.04,11243,0.04,8656,0.29,483831,0.5,811,0.05
05/07/2020,535073,0.09,967300,0.43,11212,0.04,11248,0.04,8509,0.29,488836,0.51,930,0.05
05/06/2020,508824,0.09,721100,0.32,9927,0.03,10107,0.04,8832,0.3,444179,0.46,822,0.05
05/05/2020,522085,0.09,1185000,0.52,9073,0.03,10604,0.04,8445,0.29,462086,0.48,894,0.05
05/04/2020,511866,0.09,1210600,0.53,7658,0.02,10765,0.04,8287,0.28,447424,0.46,897,0.05
05/03/2020,258865,0.11,1273100,1.32,2708,0.03,4839,0.05,3263,0.19,353314,0.41,334,0.09
05/02/2020,325865,0.1,1224100,0.88,3323,0.03,5908,0.04,5493,0.32,401938,0.42,489,0.1
05/01/2020,494549,0.09,1220700,0.54,4569,0.01,9206,0.03,8332,0.28,445621,0.46,763,0.04
04/30/2020,465869,0.08,969300,0.44,6672,0.02,9971,0.03,7253,0.25,405169,0.43,764,0.05
04/29/2020,477799,0.09,707000,0.32,6414,0.02,10165,0.04,7844,0.27,410502,0.44,790,0.05
04/28/2020,489247,0.09,1268300,0.58,6450,0.02,10531,0.04,7542,0.26,436347,0.46,826,0.05
04/27/2020,462888,0.08,968100,0.44,6233,0.02,10243,0.04,6922,0.24,384124,0.41,812,0.05
04/26/2020,218787,0.09,1305000,1.32,1655,0.02,3496,0.03,2506,0.13,231541,0.27,309,0.09
04/25/2020,295387,0.09,1241800,0.93,2500,0.02,4988,0.03,4719,0.28,350300,0.38,449,0.09
04/24/2020,443956,0.08,1256300,0.57,5929,0.02,9722,0.03,7040,0.24,386935,0.41,688,0.04
04/23/2020,453520,0.08,962000,0.44,6021,0.02,9527,0.03,6969,0.24,386938,0.41,780,0.05
04/22/2020,458781,0.08,766700,0.35,6114,0.02,9694,0.03,7496,0.26,398703,0.42,793,0.05
04/21/2020,422107,0.08,1243700,0.57,5815,0.02,9374,0.03,6613,0.23,356099,0.38,753,0.05
04/20/2020,437852,0.08,1256400,0.57,6292,0.02,10063,0.04,7050,0.24,371776,0.4,770,0.05
04/19/2020,224411,0.09,1227500,1.24,1878,0.02,3885,0.04,2742,0.15,276406,0.32,340,0.1
04/18/2020,254453,0.08,1198800,0.9,2134,0.02,3966,0.03,4202,0.25,254735,0.28,339,0.07
04/17/2020,432368,0.08,1321800,0.6,6270,0.02,9989,0.03,7048,0.24,378350,0.4,738,0.05
04/16/2020,420223,0.08,1001000,0.46,6048,0.02,9528,0.03,6563,0.23,346342,0.37,790,0.05
04/15/2020,419059,0.08,622000,0.28,6059,0.02,9492,0.03,6928,0.24,340213,0.36,792,0.05
04/14/2020,430155,0.08,1275000,0.58,6203,0.02,9592,0.03,6585,0.23,356104,0.38,791,0.05
04/13/2020,363312,0.07,1307400,0.6,5784,0.02,8825,0.03,6205,0.21,284609,0.3,649,0.04
04/12/2020,198399,0.08,1212800,1.22,1953,0.02,3281,0.03,2525,0.14,217871,0.25,294,0.09
04/11/2020,257061,0.08,1352700,1.01,2395,0.02,4179,0.03,4235,0.25,254755,0.28,406,0.08
04/10/2020,400275,0.07,1335800,0.61,6252,0.02,9574,0.03,5378,0.19,314100,0.33,672,0.04
04/09/2020,404635,0.07,998700,0.46,6013,0.02,8931,0.03,6243,0.22,303481,0.32,690,0.04
04/08/2020,427485,0.08,783200,0.36,6371,0.02,9293,0.03,6950,0.24,324882,0.35,721,0.04
04/07/2020,434986,0.08,1270700,0.58,6552,0.02,9589,0.03,7041,0.24,335470,0.36,732,0.05
04/06/2020,445454,0.08,1273400,0.58,7150,0.02,9832,0.03,7093,0.25,335769,0.36,819,0.05
04/05/2020,227303,0.09,1361400,1.37,2583,0.03,3602,0.03,2763,0.15,209152,0.24,300,0.09
04/04/2020,282278,0.09,1274100,0.95,3247,0.03,4452,0.03,4375,0.26,243323,0.27,425,0.08
04/03/2020,483357,0.09,1333400,0.61,7321,0.02,9770,0.03,7794,0.27,340272,0.36,843,0.05
04/02/2020,485586,0.09,892800,0.41,7188,0.02,9493,0.03,7077,0.24,339734,0.36,882,0.05
04/01/2020,513481,0.09,822300,0.38,7435,0.02,9301,0.03,8151,0.28,342222,0.36,720,0.04
03/31/2020,508106,0.09,987400,0.44,3871,0.01,137464,0.5,7672,0.26,337626,0.37,1043,0.07
03/30/2020,545215,0.1,996600,0.44,4766,0.02,137762,0.5,8084,0.27,344690,0.37,1140,0.07
03/29/2020,263700,0.12,994000,1,3199,0.04,18152,0.19,3374,0.19,197154,0.24,419,0.13
03/28/2020,332393,0.11,1030700,0.78,4085,0.04,19088,0.14,4491,0.27,240702,0.28,600,0.12
03/27/2020,656817,0.12,1034500,0.46,5964,0.02,138903,0.5,8409,0.28,396778,0.43,1495,0.09
03/26/2020,680360,0.12,740100,0.33,5952,0.02,138668,0.5,8795,0.3,390117,0.42,1563,0.1
03/25/2020,690032,0.12,580400,0.26,6281,0.02,138239,0.5,9512,0.32,375767,0.41,1572,0.1
03/24/2020,741587,0.13,650300,0.29,7120,0.02,139194,0.5,9133,0.31,395493,0.43,1727,0.11
03/23/2020,709499,0.13,1032900,0.46,7379,0.02,139285,0.51,9902,0.33,361514,0.39,1639,0.1
03/22/2020,408723,0.18,1081700,1.09,6527,0.08,20830,0.22,4824,0.27,277051,0.34,641,0.2
